idHo,Ten_KH,Ten_TV,Mo_ta,idBo
63,Capparaceae,"Màn màn (Cáp, Màng màng)","Capparaceae Juss. 1789Cây thảo. Lá đơn kép chân vịt, có lá kèm thường biến thành gai hay tuyến.Cụm hoa chùm với nhiều hoa có mầu sắc sặc sỡ. Hoa đa số mẫu 4. Bầu hay cả bầu và bộ nhị dính trên cuống dài tách xa các cánh hoa.Quả có chuôi riêng tách biệt với cuống bởi đốt.Thế giới có 40 - 50 / 900, phân bố ở Nhiệt đới và á nhiệt đới đặc biệt Nam Phi (khô hạn)Việt Nam có 6 chi, 55 loài.Phân loại: Họ này có họ hàng với Cruciferae và có thể tiến hoá từ một tổ tiên chung. Về phương diện giải phẫu, họ này có nhiều dấu hiệu tiến hoá hơn.Giá trị kinh tế: Nhiều loài làm thuốc và làm cảnh (Cleome speciosus).",10
64,Caprifoliaceae,"Kim ngân, Cơm cháy","Caprifoliaceae - Họ kim ngân:Cây dây leo, cây bụi hay cây gỗ nhỏ hoặc cỏ. Lá mọc đối, đơn hay kép lông chim, ít khi kép 3, không có lá kèm. Phần lớn có gỗ mềm và có tủy rộng, đôi khi có tuyến mật trên cuống lá.Cụm hoa xim 2 ngả, dạng ngủ. Hoa lưỡng tính, đều hay đối xứng 2 bên, mẫu 4 - 5, cánh hoa hợp thành ống và thành 2 môi, các thùy thường xếp lợp. Nhị đẳng số, đính trên ống tràng và xen kẽ với thùy tràng. Bộ nhụy gồm (8)5-2 lá noãn hợp thành bầu hạ hay thường là bầu trung. Bầu 5-1 ô, mỗi ô chứa 1 -nhiều noãn đảo và treo. Khi nở, 1 môi quặt lại rất rõ.Quả mọng, nang hay hạch. Hạt có phôi nhỏ và nội nhũ nạc lớn.Thế giới có 16 chi và 400 loài, phân bố chủ yếu ở bán cầu Bắc, ít có ở Đông Nam Á, châu Úc và Nam Mỹ.Việt Nam có 4 chi và khoảng 25 loài.Phân loại: Họ này nói chung gần với Rubiaceae nhưng nó khác là không có lá kèm.Giá trị kinh tế: Nhiều cây làm cảnh, một số quả nạc làm rượu vang hay làm thuốc (Lonicera japonica).",22
65,Cardiopteridaceae,"Tỹ đực, Mai rùa","Cardiopteridaceae - Họ Mai rùa:Khá gần với Olacaceae, nhưng ở đây là cỏ leo có mủ trắng, lá có gân chân vịt.Cánh hoa hợp, thùy xếp lợp, nhị xen kẽ với cánh hoa và đính trên ống tràng, không có triền. Bộ nhụy gồm 2 lá noãn hợp thành bầu 1 ô chứa 2 noãn treo ở đỉnh khoang bầu. 1 trong 2 vòi nhụy dài hơn và bền trong quả.Quả không tự mở, có 2 cánh dọc.Thế giới có 1 chi và 3 loài, phân bố ở Nam và Đông nam châu Á và châu Úc.Việt Nam có 2 loài. ",78
66,Caricaceae,Đu đủ,"Caricaceae Dumort. 1829Đặc trưng bởi gỗ rất mềm, thân thường không phân  nhánh với 1 túm lá ở đỉnh. Lá xẻ thùy chân vịt. Có nhựa mủ trắng.Hoa đơn tính, mẫu 5, lá đài và cánh hoa đều 5, nhị 10, xếp thành 2 vòng obdiplostemon và đính trên tràng, bộ nhụy gồm 5 lá noãn hợp bên (paracarp) thành bầu thượng 1 ô.Quả nạc dạng quả bí.Thế giới có 4 chi, 45 loài, phân bố chủ yếu ở nhiệt đới và cận nhiệt đới châu Mỹ, ít ở châu Phi.Việt Nam có 1 loài trồng: Đu đủ Carica papaya",89
67,Carlemanniaceae,Họ Ngân hoa,"Carlemanniaceae Airy Shaw 1965Cây thảo hay cây nhỡ thấp, có lá cân hay không cân đối. Cụm hoa chùy hay chùm. Đài có 4 thùy. Tràng hoa hình ống với 4 - 5 thùy. Nhị đính trên ống tràng. Quả nang.Họ này có một số đặc điểm giống họ Cà phê như ở cấu trúc của hạt phấn, nhưng cũng có đặc điểm giống họ Kim ngân như có lông tuyến dạng đầu.Gồm 2 chi với 5 loài phân bố từ Đông Himalaya, Bắc Mianma, Tây  Nam Trung  Quốc, Lào, Bắc Việt Nam đến Xumatra",32
68,Caryophyllaceae,"Cẩm chướng (Cẩm nhung, Thạch trúc)","Caryophyllaceae Juss. 1789Cây thảo. Thân phân nhánh lưỡng phân, phình ra ở các đốt. Lá mọc đối hay vòng, có lá kèm khô xác.Cụm hoa xim 2 ngả. Hoa đều lưỡng tính (ít khi đơn tính) mầu 5 - 4; bầu 1 ô, đính noãn trụ giữa.Quả nang mở bằng van ở đỉnh.Thế giới có 80 / 2100, phân bố ở Vùng ôn đới chủ yếu Địa Trung HảiViệt Nam có hơn 10 chi và 25 loài.Phân loại: Ba phân họ: Asinoideae, Schnoideae và Paronychioideae (Speradeae, Polycarpeae, Paronychieae).Giá trị kinh tế: Làm cảnh (Dianthus spp.).       ",11
69,Casuarinaceae,Phi lao,"Casuarinaceae R.Br. 1814Cây gỗ. Cành con giống như lá. Lá dạng vảy rất bé.Cụm hoa đực dạng bông và cụm hoa cái dạng đầu.Quả nang nằm trong cụm hoa hình đầu hoá gỗThế giới có 1 chi 65 loài, phân bố chủ yếu ở châu Úc, một số ở Đông Nam Á, Tây Nam Thái Bình DươngViệt Nam có 1 chi, 3 loàiPhân loại: Nó cùng Hamamelidaceae xuất phát từ tổ tiênb chung.Giá trị kinh tế: Cho gỗ, làm cảnh, cố định đạm (Casuarina equisetifolia). ",29
70,Celastraceae,"Chân danh, Dây gối, Hải đồng","Celastraceae - Họ Chân danh:Cây to, cây bụi (thường là bụi trườn) hay cây dây leo (đôi khi có gai). Lá đơn mọc đối hay mọc cách, mỏng hay dai, mép có răng.Cụm hoa xim 2 ngả, mảnh ít khi dạng tán hay đầu. Hoa lưỡng tính hay tạp tính, mẫu 5 - 4, cánh hoa thường rời (hơi dính nhau ở gốc trong chi Microtropis) hoặc đôi khi không có cánh hoa. Nhị đẳng số và đối diện với thùy đài, mọc xen kẽ với cánh tràng, gốc có đĩa mật phát triển. Bầu có vòi ngắn, đầu nhụy hình tam giác, mỗi ô 2 noãn.Quả nang chẻ ô hoặc quả mọng, quả có cánh hay quả hạch có 3 thùy, khi khô tách 3 mảnh với hạt có áo hạt màu đỏ hay hạt có cánh mỏng. Rất đặc trưng bởi có triền bao quanh và dính với bầu (nên bầu có dạng hạ) và hạt phần lớn có tử y.Thế giới có 80 chi và 1150 loài, phân bố chủ yếu ở vùng Nhiệt đới và Á nhiệt đới.Việt Nam có 14-15 chi và khoảng 75 loài.Phân loại: Nó có thể quan hệ với Aquifoliaceae nhưng phân biệt bởi có đĩa mật quanh bầu và rốn có màu. Chi Hippocratea một số tác giả tách thành một họ riêng -Hippocrateaceae.Giá trị kinh tế: nhiều cây được người Ả Rập dùng làm chè như Catha edulis, một số lấy nhựa cao su, làm thuốc, làm cảnh (Celastrus paniculatus, Salacia chinensis).",12
71,Centrolepidaceae,Trung lân,"Centrolepidaceae Endl. 1836Gần gũi với họ Chanh lương - Restionaceae.Cỏ nhiều năm, có rễ chùm.Hoa trần, đơn tính cùng gốc (thường tạo thành hoa lưỡng tính giả). Hoa đực chỉ gồm có 1 nhị, hoa cái có nhụy rất chuyên hóa và nhụy rất thoái hóa, có 3 lá noãn nhưng thường là đơn số giảThế giới có 6 chi, 40 loài, phan bố chủ yếu ở châu Úc, Đông Nam Á và Nam MỹViệt Nam có 1 chi, 2 loài Centrolepidaceae is a botanical name for a family of flowering plants. Such a family has been recognized by most taxonomists.The APG II system, of 2003 (unchanged from the APG system, 1998), also recognises such a family, and assigns it to the order Poales in the clade commelinids in the monocots.The family is now regarded as containing three genera, Aphelia, Centrolepis, and Gaimardia,[1] with about 35 species total, found in Australia, New Zealand, southern South America and Southeast Asia.",67
72,Cephalotaxaceae,Đỉnh tùng,"Cephalotaxaceae Dumort. 1829Họ này bao gồm các loại cây bụi hay cây thân gỗ nhỏ có nhiều cành. Lá của chúng thường xanh, sắp xếp theo vòng xoắn, thường vặn xoắn lại tại gốc lá để xuất hiện theo kiểu hai hàng lá. Lá có hình dáng từ thẳng tới mũi mác, có màu xanh lục nhạt hoặc có các dải khí khổng trắng trên mặt dưới.Các loài trong họ hoặc là đơn tính cùng gốc hoặc là đơn tính cận khác gốc hay đơn tính khác gốc. Các nón đực dài khoảng 4-25 mm và phát tán phấn vào đầu mùa xuân. Các nón cái bị thoái hóa, với 1 hoặc một số lá noãn, và một hạt trên một lá noãn.Khi hạt phát triển đầy đủ thì lá noãn cũng phát triển thành một dạng áo hạt nhiều thịt, bao phủ toàn bộ hạt. Áo hạt phát triển đầy đủ thuộc loại mỏng thịt có màu lục, tía hay đỏ, mềm và có chứa nhựa. Mỗi lá noãn nằm rời rạc, vì thế nón cái phát triển thành một cọng ngắn với một hay vài hạt trông tựa như một loại quả mọng. Chúng có lẽ bị chim hay một số loài động vật khác ăn để sau đó phát tán phần hạt cứng không bị phân hủy, nhưng cơ chế phát tán hạt trong họ này hiện nay vẫn chưa được nghiên cứu kỹ lưỡng.Việt Nam có 1 loài: Đỉnh tùng - Cephalotaxus hainensis H.L.Li ",64
73,Ceratophyllaceae,Rong đuôi chó (Kim ngư),"Ceratophyllaceae Gray 1821Cây thảo thuỷ tinh, lơ lửng trong nước. Lá hẹp, mọc đối hay như vòng, phiến chẻ 2 ra 3 - 4 lần thành những đoạn như sợi chỉ, trông tựa như nhiều lá mọc vòng.Hoa bé không cuống, đơn độc ở nách lá.Quả bế mang vòi ở đỉnh, gốc có 2 sừng.Thế giới có 1 chi, 6 loài, phân bố hầu như khắp thế giới, ở các môi trường nước ngọt .Ở Việt Nam có 2 loàiGiá trị kinh tế: Làm nơi sống và để bảo vệ cá nhất là cá cảnh (Ceratophyllum demesrum).",57
74,Ceratopteridaceae,Gạc nai,"Ceratopteridaceae is the family name for the clade that is now known to include the two genera Ceratopteris  and Acrostichum. Although Ceratopteris was long isolated under its own family, due to adaptations for a dedicated aquatic existence, recent genetic study has determined that these two genera are allied. The former plant family name ""Parkeriaceae"" is no longer allowed in botanical nomenclature, due to the rule that higher taxa in plants must reflect their type division (in this case, genus). The only other acceptable classification for this clade would be to include it in a very broad Pteridaceae, which is here conserved only as the strict Pteris  clade.",73
75,Cheiropleuriaceae,"Ráng thần trắc, Cánh dơi","CHEIROPLEURIACEAE Nakai, 1928Dương xỉ có thân rễ ngắn, mọc bò, có lông, không có vẩy. Có hai thứ lá, lá không sinh sản đơn hay rẽ đôi nhiều lần; lá sinh sản không có ổ túi bào tử rõ rệt; gân chính rẽ đôi, gân phụ hình mạng lưới. Túi bào tử nằm trên một đoạn lá chuyên hóa.Họ này chỉ gồm 1 chi Cheiropleuria phân bố từ Đông Dương tới Đông Malaixia.",35
76,Chenopodiaceae,Rau muối (Kinh giới),"Chenopodiaceae Vent. 1799Cây thảo lá đơn mọc cách, không lá kèm thường mang tuyến hay phấn.Cụm hoa xim co. Hoa chủ yếu mẫu 5 - 4, không cánh hoa; bầu trên 1 ô, 1 noãn, đính gốc.Quả khô có đài tồn tại.Thế giới có 100 / 1500, phân bố ở Ôn đới, á nhiệt đới đặc biệt trên đất cát khắp thế giớiViệt Nam có 7 chi, trên 10 loài.Phân loại: 100 chi chia làm 2 tông chính trên cơ sở dạng phôi: Cyclolobeae (phôi dạng vòng) và Spirolobeae (phôi dạng xoắn).Giá trị kinh tế: Beta vulgaris là loài cung cấp đường, một số làm rau hay làm thuốc, làm cảnh",11
77,Chloranthaceae,Hoa sói,"Thân cỏ hoặc bụi nhỏ, thường thân đốt. Lá đơn mọc đối, có lá kèm.Hoa trần. Rất đặc trưng bởi có hoa lưỡng tính giả: những hoa đực trần dính vào bên các hoa cái ( hoa cái có đài tiêu giảm hoặc đôi khi 3 răng, bầu hạ) cùng nhau tạo thành một bông; bộ nhị gồm ba chiếc dính với nhau thành phiến xẻ thùy mang bố đôi túi phấn [trong đó thùy giữa mang hai đôi (mỗi bao phấn hai ô) còn các thùy bên chỉ có 1 đôi (mỗi bao phấn 1 ô)].Thế giới có 5 chi và 75 loài phân bố ở Nam, Đông và Đông Nam châu Á, New Zealand, một ít ở châu Mỹ.Ở Việt Nam có 3 chi và 6 loài.",45
78,Chrysobalanaceae,Cám (Bô đay),"Chrysobalanaceae R.Br. 1818Cây gỗ, lá đơn mọc cách.Gần gũi với Rosaceae (họ Hoa hồng) nhưng khác ở chỗ hoa hơi không đều, bao hoa mẫu 5 (K5C5-0), bộ nhụy thường là đơn số giả và đặc biệt có vòi lệch xuất phát từ gốc bầu.Thế giới có 13 chi, 530 loài, chủ yếu ở nhiệt đới châu Mỹ, ít khi ở nhiệt đới châu Phi, Madagasca, Đông Nam Á, Tây Nam châu ÚcViệt Nam có 2 chi, 2 loài",76
79,Clethraceae,"Liệt tra (Sơn liễu, Xạ hương)","Clethraceae Klotzsch 1851 Lá đơn, mọc cách, mép răng có xiên, không lá kèm.Cụm hoa đơn hay chuỳ tận cùng. Hoa đều, lưỡng tính, mẫu 5, 5 vòng; bao phấn hình tam giác, mở bằng lỗ ở gốc; bầu trên, 3 ô, đính noãn góc trong, vòi mập xẻ 3 ở đỉnh.Quả nang, 3 ô, đài tồn tạiThế giới có 2 chi, 50 loài, phân bố ở Nhiệt đới, á nhiệt đới châu Mỹ, Macrônêzi, MađeiraViệt Nam có 1 chi, 5 loài.Phân loại: Gần với Ericaceae và CyrillaceaeGiá trị kinh tế: Làm cảnh ",26
80,Clusiaceae,Bứa (Măng cụt),"Clusiaceae Lindl. = GuttiferaeaCây có mủ vàng, cành nhỏ, mọc ngang, vuông góc với thân tạo thành từng tầng. Lá đơn mọc đối, không có lá kèm. Phiến lá dày, mép nguyên.Hoa thường đơn tính hoặc tạp tính, cùng gốc, mẫu 4, bầu trên, nhị thường đính thành bó.Quả thịt hay hạch thường có đài tồn tại ở gốc.Thế giới có 40 chi, 550 loài, phân bố ở Toàn cầu nhưng tập trung ở cổ nhiệt đới ảm.Việt Nam có 5 chi, 45 loài.Phân loại: Năm phân họ: Hypericoideae, Kielmyeroideae, Calophylloideae, Moronobeoideae và Cluisoideae. Nó quan hệ với Bonnetiaceae và qua đó với Dilleniaceae.Giá trị kinh tế: Gỗ, thuốc, ăn quả (Garcinia spp.)",86
81,Cochicaceae,Từ cô,,46
82,Cochlospermaceae,Ốc tử,"Cochlospermaceae Planch. 1847Gần gũi với Bixaceae (Điều nhuộm): cây gỗ, lá đơn mọc cách, có dịch màu đỏ hay vàng cam. Bao hoa mẫu 5, nhị nhiều, bao phấn mở bằng khe ngắn ở đỉnh, quả nang chẻ ô (loculicide) nhưng khác là lá xẻ thùy chân vịt, cánh hoa gần như xếp vặn, bao phấn thẳng, bộ nhụy gồm 3-5 lá noãn. Quả không có râu, mở bằng 3-5 van. Hạt có lông dày như len, chứa phôi cong và nội nhũ dầu.Thế giới có 2 chi, 20 loài, phân bố ở nhiệt đới cựu lụcđịa và Trung Mỹ.Việt Nam có 1 chi, 1 loài: Cochlospermum gossypium",89
83,Combretaceae,Bàng (Chưn bầu),"Combretaceae R. Br. 1814Cây gỗ hoặc bụi hay dây leo. Lá đơn, nguyên, mọc đối hay mọc cụm, gốc có tuyến, không có lá kèm.Hoa nhỏ, thường lưỡng tính, đài hình ống dính với bầu 5 thuỳ; lá đài và cánh hoa 4-5 (6-8), đôi khi hoa không có tràng. Bộ nhị obdiplostemon (đôi khi không có nhị ở vòng ngoài), bao phấn đu đưa, xẻ đôi, mở dọc, thường có triền trong nhị. Bầu hạ, 1 ô, noãn treo có chân, mảnh và dài.Quả khô hay hạch có cánh ít nhiều rõ. Hạt đơn độc, lá mầm cuộn, xếp nếp hoặc vặnThế giới có 18 chi, 550 loài, phân bố ở Chủ yếu nhiệt đới, một vài á nhiệt đớiViệt Nam có 6 chi, 30 loài.Phân loại: Họ này chia làm ba nhóm, nhóm 1 bé có Lumnitzera ở châu Á, châu Phi và châu Úc. Các nhóm còn lại chứa các chi lớn. Nó có quan hệ với Myrtaceae.Giá trị kinh tế: Cho gỗ cứng (Terminalia), cây cảnhb (Bàng - Terminalia catapa), tanin, thuốc (Dây giun - Quisqualis indica). ",55
84,Commelinaceae,Thài lài,"Commelinaceae R.Br. 1810Cây thảo mọng nước. Lá có bẹ ở gốc kéo dài.Cụm hoa xim dạng tán hay dạng chuỳ ở ngọn hay nách, phần lớn xim xoắn thường có lá hoa phát triển dạng lá. Hoa lưỡng tính, hoa mẫu 3, 3 cánh hoa to thường có màu sặc sỡ, bầu trên 3 ô. Quả nang thường có màu xanh đen.Thế giới có 40 chi, 600 loài, phân bố ở Nhiệt đới, ôn đới ấm.Việt Nam có 15 chi, 60 loài Phân loại: Có các hệ thống khác nhau: chia họ thành hai phân họ Tradescanthoideae (hoa đều) và Commelinoideae (hoa không đều) hoặc chia thành các nhóm độc lập căn cứ 3 hay 6 nhị hữu thụ hoặc có hay không có cụm hoa xuyên qua và nhô lên gần gốc bẹ lá đối diện với cụm hoa. Một cách chia khác: các chi có hay không xuyên qua bẹ lá và nhô lên hay không nhô lên gần gốc bẹ lá và bẹ đó nằm đối diện với nó. Nhóm 1 bao gồm Forestia (tràng tự do) và Coleotrype (tràng dính) trong khi đó nhóm 2 có cụm hoa nhô lên ở đỉnh bẹ lá gồm Callisia và Cochliostema (1 - 3 nhị), Cyanotis (6 nhị và cánh tràng hợp ở gốc) và Rhoeo (6 nhị và cánh tràng rời). Họ này tương tự như Flagellariaceae và Mayacaceae về phương diện đặc tính cơ quan dinh dưỡng như lá sinh ra bẹ đóng kín, hoa đều hay không đều với hai vòng bao hoa, phân biệt đài và tràng, nhị 3 hay 6 đính trên bộ nhụy, hạt có nội nhũ. Họ này có thể sinh ra từ Alismataceae và Butomaceae nhưng tiến hoá cao hơn.Giá trị kinh tế: Nhiều cây làm cảnh: Commelina, Tradescantia, Rhoeo, Cyanotis, Zebrina. ",13
